Fednum,EDA - Fundraising Report,EDA - Financial Report,EDA - Daily Notification,EDA - Dashboard
11004,docs.google.com/spreadsheets/d/1MRo4nN71YZePNybFJc7lDP_D7NUp0VKEW_P6iYNXH9U,https://drive.google.com/drive/u/0/folders/1vEWm6xgkj06GgVgEDMEk9HSBAXAWdZDY,https://docs.google.com/spreadsheets/d/13RxxuXqiDfBMc5gUH7XdqIN_9gzs1COo6ZybDixiLYA,https://docs.google.com/spreadsheets/d/1bubYYbtcbBT2zyawkgE2QF1OmrjHJnwiajL2gbhj7Fs
12001,docs.google.com/spreadsheets/d/1n5lFgy6ClD0eYHvXPiPrHm0FZYMSihETxkveBmqLdoI,https://drive.google.com/drive/u/0/folders/15HbzZueYSCv2n-7D6NXRQz0jUVDfwTHD,https://docs.google.com/spreadsheets/d/1KayBKUghxXC6pJ3Lo4L2YCwvKVnJZuXd7_hru14-B9Y,https://docs.google.com/spreadsheets/d/16Es2IfjkqQRabSLkrxk2kcAJZeQl_eRVpDfJUzS7DWw
12002,docs.google.com/spreadsheets/d/18mkU1SCPwibIuX9sAqpdLAPElpw565qEasMede3mcqI,https://drive.google.com/drive/u/0/folders/1pRzPw8M-5NUuovqcQsowY6elsEg0jd_Z,https://docs.google.com/spreadsheets/d/11zx-1RQ3OZvG2nO-XOWWSR_QrHrNHdyN74kkH-WspZ8,https://docs.google.com/spreadsheets/d/17v1cmotUjg4xgeD0gHg90bRaEt0FuKwRAxA-oirDCwI
12003,docs.google.com/spreadsheets/d/1KR78337VvZKbVJY-lMfDXOI8ZYSNubYG4K25in5Lfb0,https://drive.google.com/drive/u/0/folders/10Fzuti65g9joLFZuzgW-dW5ZUgRBvlpm,https://docs.google.com/spreadsheets/d/1HM3hs3Jp6d6XC41B885MGNoaWL9h53f4Cc8Vd71YpXI,https://docs.google.com/spreadsheets/d/1joRLOaimpvaJVXIGbnOmDHmLUXB8HnUhl-8fThHeXvA
12004,docs.google.com/spreadsheets/d/1xwbR3UT9jeNGlURhreP8kPtOwf2TuU1sK0tiPb5KWd0,https://drive.google.com/drive/u/0/folders/1wpq_Vukymx_sLFbvFKM6yxDPkbhzZCna,https://docs.google.com/spreadsheets/d/1i69r4ySvmNqa52SZ-Ia5Dx2o4NzLwLYIyb8P2OKMcYo,https://docs.google.com/spreadsheets/d/1YOdwGKHg5Vc_16nxelAlwbV4Ip7NVmrHXemtT868Gl4
12005,docs.google.com/spreadsheets/d/1I7_OAwPJcNBsrmbARAD2o6cHJnX7vSVlUzzg6gWrZ98,https://drive.google.com/drive/u/0/folders/1SRs2yiN-XCviVxXmzxg21iE_xE0zXXN2,https://docs.google.com/spreadsheets/d/19oLCUdhbCH3Bdie2q0RI8Tuf94SapoFpC1F4zF78n8U,https://docs.google.com/spreadsheets/d/1d_txcrveTvPeB5lSyWcYqWzGsvmmN-ObTLmYU_Xp7D0
12006,docs.google.com/spreadsheets/d/1tMlromQByWWeK0_I7A1fr9GjLaBEQWiDjO1EdIIMXRw,https://drive.google.com/drive/u/0/folders/19EOyHm_skttoo6VRNdik3-4SgS48EARp,https://docs.google.com/spreadsheets/d/1W_1ydpYRk6kksstz3cJMBANfZlHEKCbrbyckPOjgTF0,https://docs.google.com/spreadsheets/d/1Ti3eV02z2QN0ivMapfxCy55baTwVnXYfz1wBqhfmaIo
12007,docs.google.com/spreadsheets/d/120BsWFs2yQ9HxXHResvW00TJfgucVQJ6OrQ6k-uFlvA,https://drive.google.com/drive/u/0/folders/16oqj--DT3WDV1nd_4bFXCqlTxEjLEKtv,https://docs.google.com/spreadsheets/d/1Nfa2Iod95FPmcgPj_ar94Iulco5X12pz7XCa0vYVCQU,https://docs.google.com/spreadsheets/d/1yctTuteWO4UcyL1oGJlJLzj2sbhYEO2iobiixhBg_4o
12008,docs.google.com/spreadsheets/d/1F67TyaB-wH7a7lC3RHryq_nuaCBJjOvRYdto8XIW_vo,https://drive.google.com/drive/u/0/folders/1bIQ8oVzVrdDMu9z0K8uy6RZfSTLkT0Gr,https://docs.google.com/spreadsheets/d/1sxMz9630AF68UEWSTtK7ERqf4_aac3kLt7D84beNbJ0,https://docs.google.com/spreadsheets/d/1CE1h2BZT4f9DoF56VBFSHxplpAWXTzH6_HNsay69vqU
12009,docs.google.com/spreadsheets/d/1WXVv0viXoJRuiCoEBGuU0NJuRyOdZ0761xfP0JGXiMU,https://drive.google.com/drive/u/0/folders/1pQrq-UFdiA-rFrn5GDjxhuXkvJ8CPIGH,https://docs.google.com/spreadsheets/d/1bkBdH6e9EP8e9s72Q1qLlyDmxuMnb_B3gqgSwBQrxNM,https://docs.google.com/spreadsheets/d/16wUDgATn2lIKE5Fq_4LwtgIhksu5xlnvCduv2sMhDF0
12010,docs.google.com/spreadsheets/d/1mAD9Qs2z9FIAqISfgYjU_HPutE5-C2cjbj4IPo15UjE,https://drive.google.com/drive/u/0/folders/1R-Em4gvB93FYEnvnbnExNu6clvLHk797,https://docs.google.com/spreadsheets/d/1-il0T796oOFrPMhE2suWeFXPtTJO54i6xCo1_HorrWs,https://docs.google.com/spreadsheets/d/1XM93gFVuEzKiQottON4xWsPmp7BlhqWl2BD9Sn2PsO4
12011,docs.google.com/spreadsheets/d/143YJHwACEeoFkFOGcld70jRc7HbxX6eACdqPDWWWN7g,https://drive.google.com/drive/u/0/folders/12AewKwZKPLQJH86-1Gbmici1rwWCwDo5,https://docs.google.com/spreadsheets/d/1fiWjhLcCHZozAL5vmW-6YGJScDZawofGlfMLaVjcKQw,https://docs.google.com/spreadsheets/d/1t4h5m3EgXukfeP52x5CYimeHqALf_hkStPO5nFKXJzQ
13001,docs.google.com/spreadsheets/d/1VfTKdYQwYXia6I-j8cKRnmsMek6gI7Wz5_JGxxmTN8A,https://drive.google.com/drive/u/0/folders/11MhsSDGFwUKM5RGrvoMas1YgvO89wueD,https://docs.google.com/spreadsheets/d/1yn6wEIFMTXvGw1LpZKD_g4eHzB7CQByqHRqsiWEBuSs,https://docs.google.com/spreadsheets/d/1OBEzQULpOfIbcOvIUQ1_CElptTRxAU0jz-gfi0X2PXk
13002,docs.google.com/spreadsheets/d/1-tvfM48ZJDmRnVu84k_d1_Tb97fzfmM03svYFPsYMMo,https://drive.google.com/drive/u/0/folders/17K093U6a_JiMsSGxuedYoQoZLuXvDwuz,https://docs.google.com/spreadsheets/d/1kVtjzNFZG55BsWaWpvC5fT9My34emCKn1pYwano79bo,https://docs.google.com/spreadsheets/d/1gKJ7WVgmLXutD_iGsEDWPbeBVqVfyDP3hrmwYR7GTao
13003,docs.google.com/spreadsheets/d/15xpqoooC75ejgYSOe-saPPrGwzapg77DKJhBhR5Wl8E,https://drive.google.com/drive/u/0/folders/1dYXucWwb9C-zQX0IeO95QgsYqLlZKjIN,https://docs.google.com/spreadsheets/d/1VzbXYtlON165uq_bQOFvh2F-VoDOm8wmC3P_5uEqIy4,https://docs.google.com/spreadsheets/d/1vTb36OjNoplGGyvCyOcQCr8hRREx4tCkfWu0Pd4n7kg
13004,docs.google.com/spreadsheets/d/13h4uVyD-mTIi7B3FlZWq_0oV8jBpqQCYD339aYnaPU0,https://drive.google.com/drive/u/0/folders/1fgQ2cpURoznG9JjzyOTj7OMt4KNk9_f-,https://docs.google.com/spreadsheets/d/105fE9Zt_Uwbt7R_SW-VgTIIoIm8Ym6GgKpRl5XEVtoE,https://docs.google.com/spreadsheets/d/14UaKdrCR_KLIqNTjFU8JEdRptQnWCaEDls1eLT9H_Pw
13005,docs.google.com/spreadsheets/d/1YQx0rHl8Q_2xyzSlT4KdwmDcGMGrC3kJS9gA9buz_Gg,https://drive.google.com/drive/u/0/folders/1_LDXUDHmP-URyEuNs3viSp92yt2JwZ9w,https://docs.google.com/spreadsheets/d/1xSU47N049tIcuiP7QcCWALvjt5lkh__Ef5NM0L1-oLI,https://docs.google.com/spreadsheets/d/1ArxykG4fTtEC1zcRF5eWXiMxMglI1wcu88cC5txjCeE
13006,docs.google.com/spreadsheets/d/1dxj2X0Chp_C4qOs1NumMFzSYG-eV401yL4LfnQ7VPYc,https://drive.google.com/drive/u/0/folders/10dlwMc3rf6d8yl9M9tclzIxCunbfcAX8,https://docs.google.com/spreadsheets/d/1TPHHfHMnW2OM8I0KsWmant9sM9kBxMKdeBq1RZPaiFQ,https://docs.google.com/spreadsheets/d/1Vc0YgfWxq2_ueprTemuNGtEj0eH5of3_un4WAY68RgM
13007,docs.google.com/spreadsheets/d/1ASs3O0UwQNKRHRnrSWNa6PpDL6cVbS0epXVBjLOMMkc,https://drive.google.com/drive/u/0/folders/1a8pj2r10nY9NAmXrzJU1WGlGAriwTn3S,https://docs.google.com/spreadsheets/d/1t3s1GCqCqcPw6Xdogavr54KJIH5M1EXOhW7oDf3sh-c,https://docs.google.com/spreadsheets/d/1OuB_vSBYgWZxDpD122ZG2M83lvm_vIb8SnCPKGPr91A
13008,docs.google.com/spreadsheets/d/1wVWCScOTEOU0DznKEgCTwmvoWtyUJ31jd7Li7MCIR28,https://drive.google.com/drive/u/0/folders/1zjIcz0QKlPBASmryO704OzwaYAMqf4TQ,https://docs.google.com/spreadsheets/d/1lSgvVbNRAIV1XTjDKavn4OTuQz9P53j9ltCsMDUBsJo,https://docs.google.com/spreadsheets/d/1WVZjbNeg1AajenXtz9J4znQvEWs0OuYH9v_6VwoJBD8
13009,docs.google.com/spreadsheets/d/1KfEld5MELjVMFW0duljolqdMhg7QgtR7QqbyuJj8OLA,https://drive.google.com/drive/u/0/folders/16A10UWTnW44S3u_4iNA6_3XYM5WfBO5M,https://docs.google.com/spreadsheets/d/1qzxVkHIPCcblRrDo5bWg1UeT4mBIOZAypzLmAM7A-TA,https://docs.google.com/spreadsheets/d/1V6XAela3w9ltdQW0mUJ8bPYClYuja_6TWnX6ZLXNQKE
13010,docs.google.com/spreadsheets/d/1V3AWl3SGSrVI_1Ql9MZW2NS9ipGVhIXIas2m6K0Nds4,https://drive.google.com/drive/u/0/folders/1fmb4r17yApLC0slY3LchmR4cv_VTHRZA,https://docs.google.com/spreadsheets/d/1TU1i_KHfDOAtF_OEM9EksBjHf2sv802G2pNXtz59AI4,https://docs.google.com/spreadsheets/d/1-dDWkRGvBQ0pUCr-3S0_-bPg8VkkPlG2XEhOLDFqRU4
24001,docs.google.com/spreadsheets/d/1k48Lu9pPXUBaOcq8p0k1EZ7YzmrSyjpb3CyZhMJM6Mg,https://drive.google.com/drive/u/0/folders/1a57_6iTP6EBZ2KHkB9XSVL2m6laxcooM,https://docs.google.com/spreadsheets/d/1X60866661GpwWrpEG_yMyAY9fitu6XCCQKDF0i303YA,https://docs.google.com/spreadsheets/d/1TjBpA36SRppETSgPLKljvQAao_IdB63KRiITADrsn8E
24002,docs.google.com/spreadsheets/d/1Gl0Lv9WmyPK8U4XL70eIY-zl2lLaIR65yG9j3GPzJBI,https://drive.google.com/drive/u/0/folders/1IqbfSmo6FGIKZUaCZXEIJ52gUUwq8B2X,https://docs.google.com/spreadsheets/d/1TcofjgImRWqEA-8NBvsc2eLZ4O5A4XCP3TMDapmcBGI,https://docs.google.com/spreadsheets/d/1ASWvgslO6Tam9XfHrqLXVIRc28iNG9TdXP4hPgx6Ev0
24003,docs.google.com/spreadsheets/d/1DZKEU9Zcy4Q-2A_gzM5fLH6zLUwiUxADxzzLwzANSnw,https://drive.google.com/drive/u/0/folders/1l3Kk-ri0he0XpjsqMPxzhNuemKHhjmce,https://docs.google.com/spreadsheets/d/1H4Gdrqu5H1l50KE7f-twYgBiZY4HEPQ1JmxRPeRl8vg,https://docs.google.com/spreadsheets/d/11Zz-MSqRbrwZ3AgptNDA75KNlqpOJhA4fDLhwmtBbCk
24004,docs.google.com/spreadsheets/d/1et85q_NIMVyQYSMTdjhuAefr8PIAYJnJpoTVhn3XbCE,https://drive.google.com/drive/u/0/folders/1bnArQDKjbzZx_Ke5leRoh2Wzt9UDVEAy,https://docs.google.com/spreadsheets/d/1ZR1CKssKk07-L49cO7_q--UdSu2EGNp907gFeWPiY3Y,https://docs.google.com/spreadsheets/d/1v7JYeVIVVE5xY9sa5cdvDQ97USjmVyvnGY30SlOXVqM
24005,docs.google.com/spreadsheets/d/1XylXxQ5AY-NiGFIL5CCFcikCwvE5zVFmmbxiKGn3Lf0,https://drive.google.com/drive/u/0/folders/1ddHxTwgiZt0z3LN3OybGA-tnlAr_RMHu,https://docs.google.com/spreadsheets/d/1lElt_Lwh2-mBCcRLeqSTUct8Vni3BQglH7xL42wi_ys,https://docs.google.com/spreadsheets/d/1Blc_gmMyd7Nqt07Sw-uxGwxC-oncavJe6DxMhLf6i4Q
24006,docs.google.com/spreadsheets/d/1qHt-4vaB7PnPkbcx0lo8d5tx98UZkaC10afD3GeQPoM,https://drive.google.com/drive/u/0/folders/1I1fNZE_op9c3XwJmKG4r5KhurUVDielX,https://docs.google.com/spreadsheets/d/10Y_-_GKOHF2DCklB5NKdDk9zm9ELoVD3AwUZPNezgJ0,https://docs.google.com/spreadsheets/d/1EAFSpxjiQyh6DaFGN9HEUVPw_ZBda0EEVeScL4N02yU
24007,docs.google.com/spreadsheets/d/1Qu3boEgKgNjW4ln2I8v-SPemAaWU_hGIEATJB9-q1So,https://drive.google.com/drive/u/0/folders/1srx1-E5qpMzmfT5IOBkP94-XBFwqqJGo,https://docs.google.com/spreadsheets/d/18vU8nvbbBLzCSgDV2LCiWWgslS0D0OtE02WDG90JMh8,https://docs.google.com/spreadsheets/d/1k4ticX3A4ASY3rejCtE03zvmfjS0z1jLGpn3SUzvd7A
24008,docs.google.com/spreadsheets/d/15hqDkvOdc8qaFcf9UOeJMdQpJrmQ0L74EMAOF3_hD0o,https://drive.google.com/drive/u/0/folders/1NVsOSl0r00sfhSTMUEIxDDkOjn7CGfDL,https://docs.google.com/spreadsheets/d/14RgJjzWJbdIYz361T-7kAfdVvUXGU8oUjz-YaK6TJq0,https://docs.google.com/spreadsheets/d/1an5SWjDcdUEwxp3l2Tj4ruCmIzDrsX4lv8xeVT0wfBw
24009,docs.google.com/spreadsheets/d/1UgzVfUlRIn42IZansKB1qIXsyb5DVAT1DAimspxtwIY,https://drive.google.com/drive/u/0/folders/1iSr8j0yF7NsTahLrvUZPdnHdEsGOgFLb,https://docs.google.com/spreadsheets/d/1s_gz2MdP0oCj3hZSx6aAJ4kIvajt_5hjACipmZ1TNK0,https://docs.google.com/spreadsheets/d/13cYes06rLKcgOpulquRHcE_l_sOzDAHGRedyjX_AF-I
24010,docs.google.com/spreadsheets/d/14qE5m_y5tmRvVp1G8QTaVeWDIMkz1rF2Vxwz1aIcxZ4,https://drive.google.com/drive/u/0/folders/1fj1AzUcTecH2Is2DzM2ScvvHoiuOXeSS,https://docs.google.com/spreadsheets/d/18R2TpKXktEsaFNEi_tlQjLSFIQGiC7_HJfNozCnLSu0,https://docs.google.com/spreadsheets/d/11Chm-0s44Gzhm1ONzcJLRrJn7xm5xAh9JrPvHkW9NPs
24011,docs.google.com/spreadsheets/d/1XRNQdQejeZvFB4szuJECyLcKnKkU8XiNHcVwC9nEkR8,https://drive.google.com/drive/u/0/folders/10tNMUnmaRssrS6cGauaraLiW9SJL0SSL,https://docs.google.com/spreadsheets/d/1DyPZeU_oeL0xweLzk8g_tGLkGmwiQ5KFgn2EFlSwWtI,https://docs.google.com/spreadsheets/d/1lt8K_AochKHe89ilnIS52NeNDMMNiGJ2N-s4svXpHNs
24012,docs.google.com/spreadsheets/d/1GAtO4dZ_QoPtmOlvFI8K5x5lkagwM-lyiHcXi1fgZJE,https://drive.google.com/drive/u/0/folders/1wx5MPvG43eqZs1FLMaTMHHTtVFzslPG8,https://docs.google.com/spreadsheets/d/13UXY7HXDOVf5csHMEIRE7Tg2UZWHm3xeTlShtRd8Lmg,https://docs.google.com/spreadsheets/d/1KBU1JUcgR5CmzBU4D-wXAG9qKfB08nE1WJWvrzufS0Y
24013,docs.google.com/spreadsheets/d/1Bec035bIfiuhp8Ets4V6U1QNDGAvI6szGWngy7PFO-s,https://drive.google.com/drive/u/0/folders/1Qb9PgrMsJyZ3JTYOvQBwaZ0wtheRgU_u,https://docs.google.com/spreadsheets/d/13W4yNrb6FZfwIeTZc1E1TTKt6C-d3i-2OUF_kOKEz_M,https://docs.google.com/spreadsheets/d/1h4eYcfVbM47TwDHuE6VRxO50w66xmvEbI1w1TrBn138
24014,docs.google.com/spreadsheets/d/1LwuW1absKhKA8xW84RsgRisgmzxkZdpv76xZ04bm4Sw,https://drive.google.com/drive/u/0/folders/1Pwl_kwSjsrDjqzERIt2t5QoXCff90IrG,https://docs.google.com/spreadsheets/d/1GfWboRn2B4Gr2hXpfSI042zpkp2E5Mq7Qh-OdnwqdQI,https://docs.google.com/spreadsheets/d/1Aj1Tl3PNktwsmAsNG2USu3DLaqewHz7k0jKFqpiGLxs
24015,docs.google.com/spreadsheets/d/1j3mQTBCvnk2Ny0tpTK67lRbX-rzNTr0Aej2JOwOQfzE,https://drive.google.com/drive/u/0/folders/1Y2YVoGiF9BK78XrnQ97b3sQsVm8NIBSQ,https://docs.google.com/spreadsheets/d/16jTpo4qZkeY8FAeAsoXw8DZAydODwRXUnMdHAgGZRxg,https://docs.google.com/spreadsheets/d/1cW2EntReGJkkiFBi-H5E8LCQzwllF__oS1jon9hElWI
24016,docs.google.com/spreadsheets/d/1frv3H5r_h_Ki2Ke4p8u4_oAx-W4-g741Vjt23lrtBJo,https://drive.google.com/drive/u/0/folders/13YYThP3TkO5DLCtKH7dh-UoYOC5YPsR6,https://docs.google.com/spreadsheets/d/132QSyy4jHEPOEMq_qdH2SbWp39IVQoPV2KzX2Drx_88,https://docs.google.com/spreadsheets/d/1vXpL8Avmv3fblGJxNEEtjD8GUDbrvbwqQj7nZ9uFOto
24017,docs.google.com/spreadsheets/d/1q4ec7dbM7TO31hbA2zD4tobU7vioGQ3XxI0lvfhPRng,https://drive.google.com/drive/u/0/folders/1ZffWJ58aQF7ViChsosYJ1yvVeX1wDt9x,https://docs.google.com/spreadsheets/d/1D9BoMpV07X5C0lxBpxhnURRE8VXsagSStOZINoRuMkk,https://docs.google.com/spreadsheets/d/10vIiCKVHfsqWM1SmHc3fBXZSRt-avvYSMYFjY4UKw8U
24018,docs.google.com/spreadsheets/d/1zcupIVzNWZuoCV-4P7XjUSxC2eApkEwnYFJHJQSa2Sk,https://drive.google.com/drive/u/0/folders/1-sPX-msX7UWyP78Y4ucvHyfGR7fcAl9u,https://docs.google.com/spreadsheets/d/1vQwswge4pgSzxBKWnJAwgARRD1npBBp9sjfs_dbZE6s,https://docs.google.com/spreadsheets/d/1SyWcHuT3AFGgxJ4AvRccDI5d35jYOfmgbRjoU5MeaiY
24019,docs.google.com/spreadsheets/d/1toFoxzL7FhJ1YSizqVr3XS0Hf_XKXh-DFFlzCLag8S0,https://drive.google.com/drive/u/0/folders/1Dxe0tXBNGsE9pnIQAe-sd9GvPp6P-ptG,https://docs.google.com/spreadsheets/d/1YIb_qLOba3YIHjXDhqP-VLWpdOsxp338_7C7zwSrtGw,https://docs.google.com/spreadsheets/d/1S2EbXxJPOEdFUCUKzSOgcceiXZCFobSpOhYWMRFA3VE
24020,docs.google.com/spreadsheets/d/1ww1Uift9ZWopGjZTRF0PMomECPRQoirOkf6RoexPNz8,https://drive.google.com/drive/u/0/folders/1SC-xTJY7eKRbSTqhs6WvINCz8-euoDJl,https://docs.google.com/spreadsheets/d/1BbFh3lSB49iKjMW3E7ML584IjItoiKNMOPkVW_42h7o,https://docs.google.com/spreadsheets/d/1XGm9tNdaZJuY-574nuPjJ7MMbJNoyyDeXJuKRstAZOs
24021,docs.google.com/spreadsheets/d/1BS5B7BpBgynlh9XSA83O6Xx26CnlnhWFfbT_ddy0hco,https://drive.google.com/drive/u/0/folders/1re6BzKRPGPOahoJeWZjDeu0SAwFo_N12,https://docs.google.com/spreadsheets/d/1DN3xlkeQVLWMvohJdZk9FkqC5XrMbeWR4BDnonQ-kDM,https://docs.google.com/spreadsheets/d/1UCIiKINukj2RicoPXJDKX_kNrOLKUeeJ-t_BMH7N_hM
24022,docs.google.com/spreadsheets/d/1ibh1DONYHbQmgC018lp9ZzyNjLM7XgeULGySzDNlQm8,https://drive.google.com/drive/u/0/folders/1TquhVYr8311sKNV4Sd2HzPqnCKmgABto,https://docs.google.com/spreadsheets/d/10Q-d7Jy5igtN37pbD2a0gqqPPcGfUZkYnRgfnC3ipmY,https://docs.google.com/spreadsheets/d/1Fw9KngvYMyIGDTf972wW9o9dqC5NOa1gUuy1BAovehU
24023,docs.google.com/spreadsheets/d/1h43P3A-fNsSCYgjga0gtndmHOykbdNOb-9Au5GMilDU,https://drive.google.com/drive/u/0/folders/1UCgVP9QxtbSwqnQDIL09ErKgzNOr2Wxm,https://docs.google.com/spreadsheets/d/1mE12oDteeF3Pk2A9wneO2fykVhZLKap4jMmtCFlMqJI,https://docs.google.com/spreadsheets/d/1erb78G2TcH719hKf3Q7yjiy1nuICijE-QcHQSRN5CKg
24024,docs.google.com/spreadsheets/d/1L4_X8DXDR_0BG9fVyIHAUj5DGhmryD6G0pqx4QO6RTQ,https://drive.google.com/drive/u/0/folders/1HYXiJZYF79C2VavUb2Fr4_X2BYTW_nSD,https://docs.google.com/spreadsheets/d/1LozL0Slm8iPp-VLuGdmVd7ZbVuz9scWDYKnKQG6LJDw,https://docs.google.com/spreadsheets/d/1KIOljXvsEPKAwZrgh5-C9_vZ1pJmK6-zQSqRgf7Br9U
24025,docs.google.com/spreadsheets/d/1eeJENYmwfzcTkCpilD7XVmk51xA_81cG2984Ey9o4tc,https://drive.google.com/drive/u/0/folders/1QpgSHh6LKVwZ4EOvI_G_-OLHE2upEH8P,https://docs.google.com/spreadsheets/d/1nX8hVdrx1kg-Evi2153HyT3TcuUh80K4lxAf8HFmJlY,https://docs.google.com/spreadsheets/d/1AV7Rj0AA-p5Q_3WOjCXnDkvOCYBdeBn2barYQ1_pGd8
24026,docs.google.com/spreadsheets/d/14xevsvPydUEA9JSHzl0Lnup1ZmnLgb3DoPnGYXzbF5E,https://drive.google.com/drive/u/0/folders/12NZTwojAaOjjUJu4BpNOIrkumFPqmoA8,https://docs.google.com/spreadsheets/d/1g_t-xRmE7jYpTB0loU2m5MPD4ABAr4mkEzTBIULDCP8,https://docs.google.com/spreadsheets/d/1vwvYmN1FRQBCxTStm4TZdgbQL1-BTCLSQI20uGmE2YU
24027,docs.google.com/spreadsheets/d/1mkTBzpkcsXsbiN1K6_1rtXx2EWB6y-yNo_eg2TGM_To,https://drive.google.com/drive/u/0/folders/1LCHByumUWKxWYTtRSyD5lAANAFLVFTwx,https://docs.google.com/spreadsheets/d/1SPhNVX_hZ_TOze4vTaD4IW3X4fhrlhIbcPbTkEKdEAk,https://docs.google.com/spreadsheets/d/110ZbVgy7mIsW5F17_lbdg4YaUSjht6BwlPKGahPrsyE
